service,memory-usage,databases
dbrepo-gateway-service,13160448,0
dbrepo-broker-service,147824640,0
dbrepo-metadata-service,444534784,0
dbrepo-authentication-service,654819328,0
dbrepo-ui,108466176,0
dbrepo-data-db,119681024,0
dbrepo-search-db,1678917632,0
dbrepo-metadata-db,148221952,0
dbrepo-analyse-service,92524544,0
dbrepo-upload-service,14839808,0
dbrepo-gateway-service,13209600,1
dbrepo-broker-service,148094976,1
dbrepo-metadata-service,488169472,1
dbrepo-authentication-service,654950400,1
dbrepo-ui,108609536,1
dbrepo-data-db,120823808,1
dbrepo-search-db,1677971456,1
dbrepo-metadata-db,148221952,1
dbrepo-analyse-service,92479488,1
dbrepo-upload-service,14839808,1
dbrepo-gateway-service,13271040,2
dbrepo-broker-service,148250624,2
dbrepo-metadata-service,488820736,2
dbrepo-authentication-service,655089664,2
dbrepo-ui,108617728,2
dbrepo-data-db,121028608,2
dbrepo-search-db,1678876672,2
dbrepo-metadata-db,148234240,2
dbrepo-analyse-service,92434432,2
dbrepo-upload-service,14839808,2
dbrepo-gateway-service,13324288,3
dbrepo-broker-service,148176896,3
dbrepo-metadata-service,490225664,3
dbrepo-authentication-service,655273984,3
dbrepo-ui,108507136,3
dbrepo-data-db,121479168,3
dbrepo-search-db,1680031744,3
dbrepo-metadata-db,148238336,3
dbrepo-analyse-service,92561408,3
dbrepo-upload-service,14839808,3
dbrepo-gateway-service,13385728,4
dbrepo-broker-service,148115456,4
dbrepo-metadata-service,491057152,4
dbrepo-authentication-service,655388672,4
dbrepo-ui,108519424,4
dbrepo-data-db,121896960,4
dbrepo-search-db,1680740352,4
dbrepo-metadata-db,148246528,4
dbrepo-analyse-service,92499968,4
dbrepo-upload-service,14839808,4
dbrepo-gateway-service,13438976,5
dbrepo-broker-service,148148224,5
dbrepo-metadata-service,492019712,5
dbrepo-authentication-service,655523840,5
dbrepo-ui,108531712,5
dbrepo-data-db,122068992,5
dbrepo-search-db,1684131840,5
dbrepo-metadata-db,148246528,5
dbrepo-analyse-service,92504064,5
dbrepo-upload-service,14839808,5
dbrepo-gateway-service,13496320,6
dbrepo-broker-service,148176896,6
dbrepo-metadata-service,492990464,6
dbrepo-authentication-service,655581184,6
dbrepo-ui,108675072,6
dbrepo-data-db,122232832,6
dbrepo-search-db,1684852736,6
dbrepo-metadata-db,148254720,6
dbrepo-analyse-service,92426240,6
dbrepo-upload-service,14917632,6
dbrepo-gateway-service,13557760,7
dbrepo-broker-service,148299776,7
dbrepo-metadata-service,493776896,7
dbrepo-authentication-service,655675392,7
dbrepo-ui,108683264,7
dbrepo-data-db,122613760,7
dbrepo-search-db,1686462464,7
dbrepo-metadata-db,148283392,7
dbrepo-analyse-service,92426240,7
dbrepo-upload-service,14655488,7
dbrepo-gateway-service,13611008,8
dbrepo-broker-service,148320256,8
dbrepo-metadata-service,495190016,8
dbrepo-authentication-service,655761408,8
dbrepo-ui,108695552,8
dbrepo-data-db,126992384,8
dbrepo-search-db,1688719360,8
dbrepo-metadata-db,148291584,8
dbrepo-analyse-service,92438528,8
dbrepo-upload-service,14655488,8
dbrepo-gateway-service,13668352,9
dbrepo-broker-service,148430848,9
dbrepo-metadata-service,496132096,9
dbrepo-authentication-service,655835136,9
dbrepo-ui,108580864,9
dbrepo-data-db,127201280,9
dbrepo-search-db,1689096192,9
dbrepo-metadata-db,148291584,9
dbrepo-analyse-service,92426240,9
dbrepo-upload-service,14655488,9
dbrepo-gateway-service,13729792,10
dbrepo-broker-service,148414464,10
dbrepo-metadata-service,497135616,10
dbrepo-authentication-service,655884288,10
dbrepo-ui,108593152,10
dbrepo-data-db,127352832,10
dbrepo-search-db,1690050560,10
dbrepo-metadata-db,148299776,10
dbrepo-analyse-service,92450816,10
dbrepo-upload-service,14655488,10
